,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Luftemissionsart NOX,75021,69733,69108,66980,65102,62621,56392,53353,53685,53388,49595,49094,51322,48021,41506,41695,43317,41067,39376,39564,38004,38569
Luftemissionsart SO2,28431,27532,28117,27904,27721,27072,24618,23711,23935,22038,21043,21500,23903,23103,19459,22006,22915,21737,21608,21929,21732,19304
Luftemissionsart NMVOC,3736,3607,3474,3479,3405,3350,2941,2819,3016,3032,2920,2932,3012,2824,2412,2552,2822,2792,2703,2768,2694,2782
Luftemissionsart NH3,3033,3034,2843,2899,2849,3140,2819,2770,2919,3008,2928,2999,3043,2754,2324,2312,2542,2521,2436,2408,2268,2213
Luftemissionsart Feinst10,8612,7874,7718,7606,7480,6988,5932,5445,5420,5132,4555,4525,4342,3947,3241,3250,3528,3362,3234,3228,3098,3108
Luftemissionsart HFC,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,652,570,321,228,213,129,93,69,53,25,31,0,0,0,0,0,0
Luftemissionsart CO2,47876210,44631939,48230606,47076846,44308709,55024959,50243221,47903747,50560621,51070541,44790670,47638909,45104146,44697785,33865679,44075212,42122196,39498919,39727637,41698441,41641199,45707637
Luftemissionsart CH4,3061,3089,3164,3346,3118,3323,3132,2978,2900,3101,2883,3652,3342,3510,2669,3349,3635,3580,3440,3272,3292,3180
Luftemissionsart N2O,517,492,520,531,509,560,526,505,511,537,482,509,537,531,398,519,533,500,479,476,487,732
Luftemissionsart NOX,43989,42759,45535,46293,44560,44244,41701,39543,38578,38214,34568,35195,33614,31480,22846,28660,29062,27474,27103,27350,27691,32833
Luftemissionsart SO2,55163,52403,54204,55621,51401,57344,54474,52074,50954,50292,47999,45536,45615,43748,30877,38797,39373,37688,38352,38963,39701,50190
Luftemissionsart NMVOC,6329,5982,6296,6315,5932,5891,5772,5594,5699,5856,5844,6037,6216,6085,4340,5381,5605,5351,5309,5343,5388,5439
Luftemissionsart NH3,225,213,217,217,206,190,181,172,169,173,167,176,178,182,135,166,175,164,162,164,166,173
Luftemissionsart Feinst10,25366,23502,23152,21648,18706,18612,16425,14570,13129,11885,10379,9147,7883,5714,3926,4956,5026,4804,4847,4899,4924,5156
Luftemissionsart HFC,0,0,0,0,0,2,3,3,4,4,6,7,14,28,23,30,46,51,40,60,56,69
Luftemissionsart PFC,1801,1707,1248,1354,1004,413,431,500,551,517,392,218,224,287,207,157,95,87,108,83,95,95
Luftemissionsart SF6,8,9,9,10,9,315,419,391,467,598,695,607,403,192,103,102,55,35,34,37,26,44
Luftemissionsart CO2,3856943,3958671,3770173,3873524,3737687,3610727,3710204,3413418,3284413,3588108,3539147,4064324,3761038,3797037,3948160,3711876,3710988,3498591,3613933,3362677,3576504,3383806
Luftemissionsart CH4,326,296,304,262,255,246,246,242,211,242,255,297,266,299,332,280,281,261,273,268,278,264
Luftemissionsart N2O,50,50,51,51,50,48,48,46,45,48,47,54,51,53,61,54,58,50,52,51,54,51
Luftemissionsart NOX,6145,6112,5929,6011,6001,5814,5753,5505,5256,5445,5216,5539,5037,4861,4987,4724,5145,4224,4206,3996,3947,3699
Luftemissionsart SO2,2341,2038,2048,1774,1556,1336,1357,1258,894,866,709,760,685,685,1017,495,400,392,362,338,262,167
Luftemissionsart NMVOC,40761,38940,41290,43570,43548,43521,43033,42777,42586,42680,118860,128022,123223,110522,91631,114016,101846,97220,98293,90018,92333,93228
Luftemissionsart NH3,62,68,62,62,57,53,57,50,43,48,44,46,46,43,58,43,40,41,41,32,38,32
Luftemissionsart Feinst10,3725,3629,3472,3292,3141,2990,2996,2996,2976,2976,2966,2812,2657,2501,2353,2193,2176,2158,2164,2174,2200,2208
Luftemissionsart HFC,0,0,0,0,0,340,273,236,256,169,194,232,221,192,168,150,116,127,127,96,102,71
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,1278328,1292763,1126657,1125647,1062661,967073,1166716,987136,887154,790612,738031,809924,1031545,781542,710867,671796,749302,793116,840267,756577,770326,854497
Luftemissionsart CH4,105,104,97,87,82,74,85,82,60,54,57,66,94,54,46,39,49,51,55,48,44,51
Luftemissionsart N2O,1117,1063,1009,956,902,847,800,699,601,502,403,413,393,356,339,329,324,304,284,267,279,290
Luftemissionsart NOX,3509,3417,3242,3213,3226,3028,3175,2921,2736,2599,2456,2454,2521,2116,1885,1827,1831,1682,1690,1499,1520,1514
Luftemissionsart SO2,1026,800,606,551,426,339,389,308,206,170,160,167,152,76,68,58,39,46,43,34,15,22
Luftemissionsart NMVOC,280,260,238,215,201,179,180,170,151,139,130,136,125,100,87,82,79,97,94,84,81,78
